date_time,date,power
07/02/17 7:30,02/07/17,132.515319
07/02/17 8:30,02/07/17,132.0414398
07/02/17 9:30,02/07/17,132.1315587
07/02/17 10:30,02/07/17,132.579668
07/02/17 11:30,02/07/17,131.9953336
07/02/17 12:30,02/07/17,133.3628997
07/02/17 13:30,02/07/17,124.0944977
07/02/17 14:30,02/07/17,332.031139
07/02/17 15:30,02/07/17,169.6661346
07/02/17 16:30,02/07/17,165.9142489
07/02/17 17:30,02/07/17,155.9148541
07/02/17 18:30,02/07/17,153.9107945
07/02/17 19:30,02/07/17,150.468875
07/02/17 20:30,02/07/17,154.0891096
07/02/17 21:30,02/07/17,149.1677371
07/02/17 22:30,02/07/17,149.9799001
07/02/17 23:30,02/07/17,146.0391911
08/03/17 0:30,03/08/17,286.8539312
08/03/17 1:30,03/08/17,855.1967156
08/03/17 2:30,03/08/17,242.860703
08/03/17 3:30,03/08/17,257.8649329
08/03/17 4:30,03/08/17,207.7326004
08/03/17 5:30,03/08/17,205.7190854
08/03/17 6:30,03/08/17,245.3542686
08/03/17 7:30,03/08/17,441.4307235
08/03/17 8:30,03/08/17,506.005429
08/03/17 9:30,03/08/17,538.0006828
08/03/17 10:30,03/08/17,365.6728606
08/03/17 11:30,03/08/17,287.20192
08/03/17 12:30,03/08/17,213.8943769
08/03/17 13:30,03/08/17,357.8832113
08/03/17 14:30,03/08/17,532.8269269
08/03/17 15:30,03/08/17,608.2230164
08/03/17 16:30,03/08/17,780.9632891
08/03/17 17:30,03/08/17,411.41843
08/03/17 18:30,03/08/17,335.0079688
08/03/17 19:30,03/08/17,323.7010094
08/03/17 20:30,03/08/17,357.3759921
08/03/17 21:30,03/08/17,245.8416692
08/03/17 22:30,03/08/17,240.2887051
08/03/17 23:30,03/08/17,225.9843884
09/03/17 0:30,03/09/17,237.4935319
09/03/17 1:30,03/09/17,256.0780389
09/03/17 2:30,03/09/17,741.1136694
09/03/17 3:30,03/09/17,338.5116398
09/03/17 4:30,03/09/17,306.1583428
09/03/17 5:30,03/09/17,520.6777802
09/03/17 6:30,03/09/17,159.3330166
09/03/17 7:30,03/09/17,103.2144332
09/03/17 8:30,03/09/17,108.6998914
09/03/17 9:30,03/09/17,242.1224144
09/03/17 10:30,03/09/17,443.5894701
09/03/17 11:30,03/09/17,475.5368927
09/03/17 12:30,03/09/17,317.01194
09/03/17 13:30,03/09/17,450.2018422
09/03/17 14:30,03/09/17,352.7286412
09/03/17 15:30,03/09/17,445.4736492
09/03/17 16:30,03/09/17,609.801852
09/03/17 17:30,03/09/17,442.6323563
09/03/17 18:30,03/09/17,355.2596834
09/03/17 19:30,03/09/17,338.0666406
09/03/17 20:30,03/09/17,329.646736
09/03/17 21:30,03/09/17,329.062737
09/03/17 22:30,03/09/17,301.5259578
09/03/17 23:30,03/09/17,260.3195236
10/03/17 0:30,03/10/17,245.358373
10/03/17 1:30,03/10/17,254.24839
10/03/17 2:30,03/10/17,427.6768022
10/03/17 3:30,03/10/17,942.4789385
10/03/17 4:30,03/10/17,460.23433
10/03/17 5:30,03/10/17,627.5345437
10/03/17 6:30,03/10/17,550.4670038
10/03/17 7:30,03/10/17,419.588804
10/03/17 8:30,03/10/17,557.2089387
10/03/17 9:30,03/10/17,351.8988999
10/03/17 10:30,03/10/17,327.4167947
10/03/17 11:30,03/10/17,601.0411231
10/03/17 12:30,03/10/17,490.2334857
10/03/17 13:30,03/10/17,1561.631533
10/03/17 14:30,03/10/17,613.6316475
10/03/17 15:30,03/10/17,507.3996842
10/03/17 16:30,03/10/17,847.2728469
10/03/17 17:30,03/10/17,345.7587641
10/03/17 18:30,03/10/17,222.547301
10/03/17 19:30,03/10/17,209.4682266
10/03/17 20:30,03/10/17,206.8654735
10/03/17 21:30,03/10/17,209.3023654
10/03/17 22:30,03/10/17,207.8423711
10/03/17 23:30,03/10/17,199.8959767
13/03/17 0:30,03/13/2017,154.1641447
13/03/17 1:30,03/13/2017,155.1292334
13/03/17 2:30,03/13/2017,282.8660186
13/03/17 3:30,03/13/2017,1537.861176
