,date_time,date,power
514,08/03/17 16:30,03/08/17,780.9632891
515,08/03/17 17:30,03/08/17,411.41843
516,08/03/17 18:30,03/08/17,335.0079688
517,08/03/17 19:30,03/08/17,323.7010094
518,08/03/17 20:30,03/08/17,357.3759921
519,08/03/17 21:30,03/08/17,245.8416692
520,08/03/17 22:30,03/08/17,240.2887051
521,08/03/17 23:30,03/08/17,225.9843884
522,09/03/17 0:30,03/09/17,237.4935319
523,09/03/17 1:30,03/09/17,256.0780389
524,09/03/17 2:30,03/09/17,741.1136694
525,09/03/17 3:30,03/09/17,338.5116398
526,09/03/17 4:30,03/09/17,306.1583428
527,09/03/17 5:30,03/09/17,520.6777802
528,09/03/17 6:30,03/09/17,159.3330166
529,09/03/17 7:30,03/09/17,103.2144332
530,09/03/17 8:30,03/09/17,108.6998914
531,09/03/17 9:30,03/09/17,242.1224144
532,09/03/17 10:30,03/09/17,443.5894701
533,09/03/17 11:30,03/09/17,475.5368927
534,09/03/17 12:30,03/09/17,317.01194
535,09/03/17 13:30,03/09/17,450.2018422
536,09/03/17 14:30,03/09/17,352.7286412
537,09/03/17 15:30,03/09/17,445.4736492
538,09/03/17 16:30,03/09/17,609.801852
539,09/03/17 17:30,03/09/17,442.6323563
540,09/03/17 18:30,03/09/17,355.2596834
541,09/03/17 19:30,03/09/17,338.0666406
542,09/03/17 20:30,03/09/17,329.646736
543,09/03/17 21:30,03/09/17,329.062737
544,09/03/17 22:30,03/09/17,301.5259578
545,09/03/17 23:30,03/09/17,260.3195236
546,10/03/17 0:30,03/10/17,245.358373
547,10/03/17 1:30,03/10/17,254.24839
548,10/03/17 2:30,03/10/17,427.6768022
549,10/03/17 3:30,03/10/17,942.4789385
550,10/03/17 4:30,03/10/17,460.23433
551,10/03/17 5:30,03/10/17,627.5345437
552,10/03/17 6:30,03/10/17,550.4670038
553,10/03/17 7:30,03/10/17,419.588804
554,10/03/17 8:30,03/10/17,557.2089387
555,10/03/17 9:30,03/10/17,351.8988999
556,10/03/17 10:30,03/10/17,327.4167947
557,10/03/17 11:30,03/10/17,601.0411231
558,10/03/17 12:30,03/10/17,490.2334857
559,10/03/17 13:30,03/10/17,1561.631533
560,10/03/17 14:30,03/10/17,613.6316475
561,10/03/17 15:30,03/10/17,507.3996842
562,10/03/17 16:30,03/10/17,847.2728469
563,10/03/17 17:30,03/10/17,345.7587641
564,10/03/17 18:30,03/10/17,222.547301
565,10/03/17 19:30,03/10/17,209.4682266
566,10/03/17 20:30,03/10/17,206.8654735
567,10/03/17 21:30,03/10/17,209.3023654
568,10/03/17 22:30,03/10/17,207.8423711
