TS,V1,V2,V3,W1,W2,W3,Virtual_Apartment,date_time,day,date,time,power
1482255000,240.7300189,243.6852562,241.5426085,21.52199707,28.8271363,118.381283,3,20/12/16 17:30,5,12/20/2016,17:30:00,168.7304163
1482258600,239.0469806,242.0473527,239.991808,21.83914382,29.50376856,115.1227459,3,20/12/16 18:30,5,12/20/2016,18:30:00,166.4656583
1482262200,240.3968955,243.5290489,240.8327091,20.96221253,28.2623081,74.48626976,3,20/12/16 19:30,5,12/20/2016,19:30:00,123.7107904
1482265800,241.5674272,244.6366854,241.568512,22.15319565,0.366804129,78.41342069,3,20/12/16 20:30,5,12/20/2016,20:30:00,100.9334205
1482269400,238.4439321,241.6920449,238.046775,20.70481173,10.0788318,45.8803459,3,20/12/16 21:30,5,12/20/2016,21:30:00,76.66398942
1482273000,239.1874474,241.8299796,238.9134297,15.53011969,16.50591546,34.37997968,3,20/12/16 22:30,5,12/20/2016,22:30:00,66.41601483
1482276600,236.7198819,239.4888783,236.9657225,19.04536725,18.88749557,38.09403343,3,20/12/16 23:30,5,12/20/2016,23:30:00,76.02689625
1482298200,229.9945948,232.6256463,230.7875388,0,0.673909009,61.43073316,3,21/12/16 5:30,6,12/21/2016,5:30:00,62.10464217
1482301800,231.9098129,234.2524022,232.3529504,1.831007455,7.858822797,61.86261522,3,21/12/16 6:30,6,12/21/2016,6:30:00,71.55244547
1482305400,235.5157422,237.7548289,235.8515084,1.166190468,0,59.17694661,3,21/12/16 7:30,6,12/21/2016,7:30:00,60.34313708
1482309000,232.5808107,235.4486062,233.743991,65.33576309,18.54213998,73.50350067,3,21/12/16 8:30,6,12/21/2016,8:30:00,157.3814037
1482312600,232.1898983,234.0161384,233.5921327,0,35.0552715,114.4298905,3,21/12/16 9:30,6,12/21/2016,9:30:00,149.485162
1482316200,232.9265545,234.2680545,232.802857,0,37.66086763,149.9034688,3,21/12/16 10:30,6,12/21/2016,10:30:00,187.5643364
1482319800,233.9122288,236.0165601,235.0942903,0,26.50016785,58.5183293,3,21/12/16 11:30,6,12/21/2016,11:30:00,85.01849714
1482323400,230.970522,233.8027062,231.6600844,4.799053135,62.88972119,48.2130876,3,21/12/16 12:30,6,12/21/2016,12:30:00,115.9018619
1482327000,234.2122116,236.4893922,234.9465091,0,91.62142227,58.50030596,3,21/12/16 13:30,6,12/21/2016,13:30:00,150.1217282
1482330600,237.3012915,240.9446961,238.5204008,15.8466694,85.89120552,69.61986994,3,21/12/16 14:30,6,12/21/2016,14:30:00,171.3577449
1482334200,239.721709,242.9281968,241.0698578,70.22497925,45.89705666,101.9949152,3,21/12/16 15:30,6,12/21/2016,15:30:00,218.1169511
1482337800,239.0627356,242.5557379,239.7483802,1.366301934,69.46653876,28.39676862,3,21/12/16 16:30,6,12/21/2016,16:30:00,99.22960931
1482341400,240.9979019,244.7794837,241.8133648,18.81341683,25.35848226,29.38377894,3,21/12/16 17:30,6,12/21/2016,17:30:00,73.55567803
1482345000,241.6132867,245.5098149,242.4839609,19.37568117,26.23097532,63.54000959,3,21/12/16 18:30,6,12/21/2016,18:30:00,109.1466661
1482348600,240.576876,244.1512378,240.9337118,17.78262819,24.1980636,53.8048526,3,21/12/16 19:30,6,12/21/2016,19:30:00,95.78554439
1482352200,241.0397963,244.5485846,241.0867778,18.93861453,25.7855783,42.00077311,3,21/12/16 20:30,6,12/21/2016,20:30:00,86.72496594
1482355800,241.6184535,244.9463456,242.0198413,18.27680117,24.72538454,22.19296911,3,21/12/16 21:30,6,12/21/2016,21:30:00,65.19515482
1482359400,242.0569666,245.2870956,241.9860559,18.86517626,25.58513109,93.87036875,3,21/12/16 22:30,6,12/21/2016,22:30:00,138.3206761
1482363000,239.6739013,242.6972241,240.164351,17.07873254,2.889053981,68.24844894,3,21/12/16 23:30,6,12/21/2016,23:30:00,88.21623546
1482366600,239.602832,242.0950893,239.9304058,30.33497217,75.09075331,132.3474681,3,22/12/16 0:30,7,12/22/2016,0:30:00,237.7731936
1482370200,235.5443532,237.2228407,236.3698934,46.68640978,346.8199565,24.10445608,3,22/12/16 1:30,7,12/22/2016,1:30:00,417.6108224
1482373800,232.7365565,233.8429083,233.4328182,17.16925807,0,33.0394699,3,22/12/16 2:30,7,12/22/2016,2:30:00,50.20872796
1482377400,231.1547533,233.1935692,232.289559,15.53316076,0,56.7215534,3,22/12/16 3:30,7,12/22/2016,3:30:00,72.25471415
1482381000,230.4345018,233.1444112,231.8199688,0,0.532752676,68.12894466,3,22/12/16 4:30,7,12/22/2016,4:30:00,68.66169733
1482384600,230.9077128,234.0139902,231.8121206,2.729370728,14.02141669,116.8018575,3,22/12/16 5:30,7,12/22/2016,5:30:00,133.5526449
1482388200,233.8113975,236.1467673,234.0398994,0,0,30.52871735,3,22/12/16 6:30,7,12/22/2016,6:30:00,30.52871735
1482391800,237.7635634,239.3139279,238.0971488,0,0.532713677,48.95822817,3,22/12/16 7:30,7,12/22/2016,7:30:00,49.49094185
1482395400,233.775599,236.2329824,235.4793108,118.9535273,4.08962086,82.15012309,3,22/12/16 8:30,7,12/22/2016,8:30:00,205.1932712
1482399000,234.4017329,236.4085384,235.5833871,0,33.90102348,53.71290696,3,22/12/16 9:30,7,12/22/2016,9:30:00,87.61393044
1482402600,233.7326892,237.3419506,235.5875979,0,27.66519484,148.0937345,3,22/12/16 10:30,7,12/22/2016,10:30:00,175.7589293
1482406200,235.383378,238.0635252,236.4718188,0,19.80056664,66.48272688,3,22/12/16 11:30,7,12/22/2016,11:30:00,86.28329352
1482409800,232.3197058,235.6012591,233.2321483,51.63775537,0.312758764,84.84002066,3,22/12/16 12:30,7,12/22/2016,12:30:00,136.7905348
1482413400,234.0219432,237.4307562,235.0052915,26.63935905,48.53940928,115.7749604,3,22/12/16 13:30,7,12/22/2016,13:30:00,190.9537287
1482417000,238.4081236,241.3623982,238.6437454,15.42180941,109.0116595,47.91465261,3,22/12/16 14:30,7,12/22/2016,14:30:00,172.3481215
1482420600,239.5985341,243.6129257,240.5610691,69.86582359,86.86229921,70.78716882,3,22/12/16 15:30,7,12/22/2016,15:30:00,227.5152916
1482424200,239.2174229,243.1177684,239.9379454,18.29607324,78.3260601,78.79035027,3,22/12/16 16:30,7,12/22/2016,16:30:00,175.4124836
1482427800,240.67206,244.8863997,241.3850796,36.16890352,50.13581844,45.14254003,3,22/12/16 17:30,7,12/22/2016,17:30:00,131.447262
1482431400,238.7879015,243.0110928,239.4896969,67.30325104,20.63154106,36.60676567,3,22/12/16 18:30,7,12/22/2016,18:30:00,124.5415578
1482435000,239.7090801,244.4220088,240.3410713,18.8386191,15.62667799,33.92567904,3,22/12/16 19:30,7,12/22/2016,19:30:00,68.39097613
1482438600,241.0511592,245.7281621,241.0305416,20.14005026,16.88594177,44.07657046,3,22/12/16 20:30,7,12/22/2016,20:30:00,81.10256249
1482442200,239.8937364,244.5595111,239.9658221,18.6720883,15.63739898,38.13675114,3,22/12/16 21:30,7,12/22/2016,21:30:00,72.44623842
1482445800,238.6279678,243.2441692,238.2634406,25.44489784,17.73402219,128.3086038,3,22/12/16 22:30,7,12/22/2016,22:30:00,171.4875238
1482449400,237.206851,240.9806776,236.760254,14.13052271,11.56633455,16.69930659,3,22/12/16 23:30,7,12/22/2016,23:30:00,42.39616385
1482453000,235.1849145,238.6001124,236.0629794,22.8099768,39.39331136,38.5077546,3,23/12/16 0:30,8,12/23/2016,0:30:00,100.7110428
1482456600,232.3748859,235.8801105,233.1163414,0,91.20417144,33.0267188,3,23/12/16 1:30,8,12/23/2016,1:30:00,124.2308902
1482460200,230.1400573,232.2311334,231.2351393,0,60.62851043,43.64195376,3,23/12/16 2:30,8,12/23/2016,2:30:00,104.2704642
1482463800,228.4272287,229.8799978,230.1144432,0,0,35.24549217,3,23/12/16 3:30,8,12/23/2016,3:30:00,35.24549217
1482467400,227.7614474,230.3353415,229.501992,1.651128623,7.459335664,69.24328013,3,23/12/16 4:30,8,12/23/2016,4:30:00,78.35374442
1482471000,231.9662795,234.6159522,233.1542278,68.54561979,0,74.75198593,3,23/12/16 5:30,8,12/23/2016,5:30:00,143.2976057
1482474600,234.9307793,237.1656052,235.3232101,0,0,50.00165415,3,23/12/16 6:30,8,12/23/2016,6:30:00,50.00165415
1482478200,237.0226598,239.908449,237.6892774,0,0,84.11405067,3,23/12/16 7:30,8,12/23/2016,7:30:00,84.11405067
1482481800,234.3853256,237.1424064,234.4842695,0,0.037551282,70.92973639,3,23/12/16 8:30,8,12/23/2016,8:30:00,70.96728767
1482485400,234.4938958,236.5316559,234.9747129,0,0,47.46837779,3,23/12/16 9:30,8,12/23/2016,9:30:00,47.46837779
1482489000,235.0011233,236.9928666,235.5281552,3.124471073,0.82741567,63.28491327,3,23/12/16 10:30,8,12/23/2016,10:30:00,67.23680002
1482492600,236.7582528,239.5950995,237.5470641,4.513494905,1.373144321,80.30618138,3,23/12/16 11:30,8,12/23/2016,11:30:00,86.19282061
1482496200,234.3600586,237.7747954,235.4578726,0,0,69.40768453,3,23/12/16 12:30,8,12/23/2016,12:30:00,69.40768453
1482499800,236.8143807,240.2208157,237.125292,159.9938414,48.73502027,108.4230531,3,23/12/16 13:30,8,12/23/2016,13:30:00,317.1519148
1482503400,239.89777,243.6750654,240.9701044,137.2528463,83.92043309,97.14019567,3,23/12/16 14:30,8,12/23/2016,14:30:00,318.3134751
1482507000,239.840302,242.9413553,240.67384,178.919491,36.35233291,141.9486888,3,23/12/16 15:30,8,12/23/2016,15:30:00,357.2205127
1482510600,239.5722558,243.1953422,240.7898977,31.56706986,0,45.0876752,3,23/12/16 16:30,8,12/23/2016,16:30:00,76.65474506
1482514200,241.1420378,245.5179385,241.7285035,37.9841455,0,143.7960028,3,23/12/16 17:30,8,12/23/2016,17:30:00,181.7801483
1482517800,239.5311397,244.1110139,239.9130463,35.31180932,0.587373412,152.6282247,3,23/12/16 18:30,8,12/23/2016,18:30:00,188.5274074
1482521400,241.4789692,245.3985732,241.2407904,37.21052589,0,53.34072095,3,23/12/16 19:30,8,12/23/2016,19:30:00,90.55124684
1482525000,239.0838056,242.9523919,238.8605007,31.88471196,0,34.5073027,3,23/12/16 20:30,8,12/23/2016,20:30:00,66.39201467
1482528600,240.0111562,243.590918,239.6960695,36.27130807,0,81.09876829,3,23/12/16 21:30,8,12/23/2016,21:30:00,117.3700764
1482532200,240.392415,244.1238306,240.1096397,36.32367255,0,87.11359802,3,23/12/16 22:30,8,12/23/2016,22:30:00,123.4372706
1482535800,238.1151741,241.1740487,238.2704868,34.47196731,0,48.5431147,3,23/12/16 23:30,8,12/23/2016,23:30:00,83.01508201
1482712200,238.2183258,241.3144554,238.6541896,19.77580131,24.13694348,34.64029254,3,26/12/16 0:30,9,12/26/2016,0:30:00,78.55303733
1482715800,235.5651136,237.2243275,235.1660374,24.77524792,223.3220607,61.0180992,3,26/12/16 1:30,9,12/26/2016,1:30:00,309.1154078
1482719400,231.1847605,232.6428863,231.3772253,32.34606838,4.839193433,116.8296048,3,26/12/16 2:30,9,12/26/2016,2:30:00,154.0148666
1482723000,228.1705256,230.4470551,229.4976948,41.48701935,17.70091337,91.45846692,3,26/12/16 3:30,9,12/26/2016,3:30:00,150.6463996
1482726600,227.6991899,230.3442878,228.9648901,1.959480165,30.33819085,43.43142637,3,26/12/16 4:30,9,12/26/2016,4:30:00,75.72909738
1482730200,230.3925124,232.6037397,230.6913945,2.8476122,44.39318286,36.36750428,3,26/12/16 5:30,9,12/26/2016,5:30:00,83.60829933
1482733800,232.7481897,235.7108922,233.1573653,3.636843109,24.38132259,59.502697,3,26/12/16 6:30,9,12/26/2016,6:30:00,87.5208627
1482737400,237.3067537,240.1672067,236.6641115,27.57748405,22.37267627,121.620044,3,26/12/16 7:30,9,12/26/2016,7:30:00,171.5702043
1482741000,234.6653354,236.9746373,235.0390491,0,32.42958488,81.26756966,3,26/12/16 8:30,9,12/26/2016,8:30:00,113.6971545
1482744600,234.0061216,236.2127288,234.0031357,0,35.51775492,139.5183472,3,26/12/16 9:30,9,12/26/2016,9:30:00,175.0361022
1482748200,235.2973229,237.5022188,236.1141427,0,39.04721432,68.49794939,3,26/12/16 10:30,9,12/26/2016,10:30:00,107.5451637
1482751800,237.9533305,239.9960125,238.3583635,9.543591429,236.9834661,53.89405052,3,26/12/16 11:30,9,12/26/2016,11:30:00,300.421108
1482755400,235.2413066,237.7307845,235.9537354,38.71848745,45.4011536,43.68885256,3,26/12/16 12:30,9,12/26/2016,12:30:00,127.8084936
1482759000,238.3518012,241.3977835,238.9388677,74.17070116,59.38375861,33.64976388,3,26/12/16 13:30,9,12/26/2016,13:30:00,167.2042237
1482762600,237.9447578,241.9807575,239.450224,32.15316528,80.06739794,27.54149476,3,26/12/16 14:30,9,12/26/2016,14:30:00,139.762058
1482766200,239.9233732,244.0500399,241.2995437,84.82773748,76.39956605,61.17450325,3,26/12/16 15:30,9,12/26/2016,15:30:00,222.4018068
1482769800,238.3408763,242.1885052,239.325777,125.1676552,91.04359138,147.0376476,3,26/12/16 16:30,9,12/26/2016,16:30:00,363.2488942
1482773400,240.2094974,244.2972187,240.7253775,0,117.429521,56.73536507,3,26/12/16 17:30,9,12/26/2016,17:30:00,174.1648861
1482777000,240.2514493,244.5936667,240.5125424,16.06657649,31.16811757,80.33848815,3,26/12/16 18:30,9,12/26/2016,18:30:00,127.5731822
1482780600,240.9128382,244.8783601,240.7115633,17.29152617,23.47281389,47.69180392,3,26/12/16 19:30,9,12/26/2016,19:30:00,88.45614398
1482784200,242.2194903,245.5299017,241.6494136,20.32961875,27.5017396,32.45565468,3,26/12/16 20:30,9,12/26/2016,20:30:00,80.28701303
1482787800,239.2921981,242.8130037,238.773295,24.34263683,33.03203985,51.11843224,3,26/12/16 21:30,9,12/26/2016,21:30:00,108.4931089
1482791400,239.3026479,242.9904545,239.1349215,26.80321859,36.31616687,77.04088626,3,26/12/16 22:30,9,12/26/2016,22:30:00,140.1602717
1482795000,238.197847,241.579936,238.4159278,25.23748065,34.3301112,71.77594976,3,26/12/16 23:30,9,12/26/2016,23:30:00,131.3435416
1482798600,236.408201,240.2703982,236.7173651,24.02480696,33.30278297,25.29719821,3,27/12/16 0:30,10,12/27/2016,0:30:00,82.62478814
1482802200,234.8650405,237.3331155,234.8723403,32.54393551,195.603694,123.8551591,3,27/12/16 1:30,10,12/27/2016,1:30:00,352.0027886
1482805800,230.1863206,231.6194615,230.3234472,34.1511402,163.6903034,138.1603659,3,27/12/16 2:30,10,12/27/2016,2:30:00,336.0018094
